x-axis,1,2,F1
second,Volt,Volt,Volt
-3.165000E-03,-442.211051E-03,+31.669095E-03,-474.581942E-03
-3.160000E-03,-434.170850E-03,+32.995728E-03,-467.850374E-03
-3.155000E-03,-428.140699E-03,+40.292211E-03,-467.114657E-03
-3.150000E-03,-418.090448E-03,+42.282160E-03,-459.722445E-03
-3.145000E-03,-410.050247E-03,+48.252010E-03,-456.979769E-03
-3.140000E-03,-402.010046E-03,+48.915326E-03,-451.594515E-03
-3.135000E-03,-387.939694E-03,+56.211808E-03,-448.851839E-03
-3.130000E-03,-377.889443E-03,+56.875125E-03,-439.452669E-03
-3.125000E-03,-371.859293E-03,+60.191708E-03,-432.035432E-03
-3.120000E-03,-361.809041E-03,+64.834924E-03,-427.310823E-03
-3.115000E-03,-343.718589E-03,+69.478140E-03,-421.900544E-03
-3.110000E-03,-337.688439E-03,+72.794723E-03,-411.155060E-03
-3.105000E-03,-315.577886E-03,+74.784673E-03,-399.748932E-03
-3.100000E-03,-305.527635E-03,+80.754522E-03,-386.971466E-03
-3.095000E-03,-299.497484E-03,+83.407788E-03,-381.586212E-03
-3.090000E-03,-289.447233E-03,+87.387688E-03,-376.200958E-03
-3.085000E-03,-271.356781E-03,+91.367587E-03,-368.808746E-03
